Generated with:

import os
from idautils import *
from idaapi import *
from idc import *

for segea in Segments():
    for ea in Functions(segea, SegEnd(segea)):
        eaEnd = FindFuncEnd(ea)
        startOffset = idaapi.get_fileregion_offset(ea)
        endOffset = idaapi.get_fileregion_offset(eaEnd)
        
        print str(hex(ea))[:-1] + ", " + str(startOffset) + ", " + str(endOffset)

Needs adding to build.ps1 with the first column as the selector for the inputs to mdasm.exe

0x80030e30, 136752, 136820
0x80030e74, 136820, 137016
0x80030f38, 137016, 137124
0x80030fa4, 137124, 137168
0x80030fd0, 137168, 137256
0x80031028, 137256, 137376
0x800310a0, 137376, 137424
0x800310d0, 137424, 137796
0x80031244, 137796, 137936
0x800312d0, 137936, 138020
0x80031324, 138020, 138176
0x800313c0, 138176, 138320
0x80031450, 138320, 138432
0x800314c0, 138432, 138500
0x80031504, 138500, 138556
0x80031580, 138624, 138788
0x80031660, 138848, 138948
0x80031710, 139024, 139104
0x80031760, 139104, 139472
0x800318d0, 139472, 139588
0x80031954, 139604, 140032
0x80031b00, 140032, 140168
0x80031b88, 140168, 140244
0x80031bd4, 140244, 141012
0x80031ed4, 141012, 141060
0x80031f04, 141060, 141584
0x80032110, 141584, 141644
0x8003214c, 141644, 141740
0x800321ac, 141740, 141816
0x800321f8, 141816, 142088
0x80032308, 142088, 142368
0x80032420, 142368, 142644
0x80032534, 142644, 142940
0x8003265c, 142940, 143060
0x800326d4, 143060, 143176
0x80032748, 143176, 143292
0x800327bc, 143292, 143392
0x80032820, 143392, 143448
0x80032858, 143448, 143720
0x80032968, 143720, 143812
0x800329c4, 143812, 144108
0x80032aec, 144108, 144192
0x80032b40, 144192, 144324
0x80032c48, 144456, 144488
0x80032c68, 144488, 144524
0x80032eac, 145068, 145492
0x80033054, 145492, 145828
0x800331a4, 145828, 145968
0x80033230, 145968, 146188
0x8003330c, 146188, 146308
0x80033384, 146308, 146424
0x800333f8, 146424, 146688
0x80033500, 146688, 146784
0x80033560, 146784, 146896
0x800335d0, 146896, 147108
